Year,Country,Category Type,Food Category,Food Value
2023,France,Wine,Beverages,2475.50
2022,France,Wine,Beverages,2659.70
2021,France,Wine,Beverages,2542.30
2020,France,Wine,Beverages,1703.50
2019,France,Wine,Beverages,2118.70
2018,France,Wine,Beverages,2063.50
2017,France,Wine,Beverages,1829.90
2016,France,Wine,Beverages,1588.50
2015,France,Wine,Beverages,1538.10
2014,France,Wine,Beverages,1474.80
2013,France,Wine,Beverages,1409.00
2012,France,Wine,Beverages,1348.30
2011,France,Wine,Beverages,1231.00
2010,France,Wine,Beverages,992.40
2023,Italy,Wine,Beverages,2255.40
2022,Italy,Wine,Beverages,2476.00
2021,Italy,Wine,Beverages,2525.00
2020,Italy,Wine,Beverages,2106.70
2019,Italy,Wine,Beverages,2053.90
2018,Italy,Wine,Beverages,2071.70
2017,Italy,Wine,Beverages,1931.60
2016,Italy,Wine,Beverages,1859.50
2015,Italy,Wine,Beverages,1747.00
2014,Italy,Wine,Beverages,1740.50
2013,Italy,Wine,Beverages,1646.80
2012,Italy,Wine,Beverages,1505.50
2011,Italy,Wine,Beverages,1518.10
2010,Italy,Wine,Beverages,1282.00
2023,New Zealand,Wine,Beverages,596.80
2022,New Zealand,Wine,Beverages,583.70
2021,New Zealand,Wine,Beverages,551.70
2020,New Zealand,Wine,Beverages,489.00
2019,New Zealand,Wine,Beverages,465.30
2018,New Zealand,Wine,Beverages,437.90
2017,New Zealand,Wine,Beverages,423.80
2016,New Zealand,Wine,Beverages,400.90
2015,New Zealand,Wine,Beverages,361.00
2014,New Zealand,Wine,Beverages,328.00
2013,New Zealand,Wine,Beverages,282.00
2012,New Zealand,Wine,Beverages,248.60
2011,New Zealand,Wine,Beverages,199.70
2010,New Zealand,Wine,Beverages,197.50
2023,Spain,Wine,Beverages,382.20
2022,Spain,Wine,Beverages,417.30
2021,Spain,Wine,Beverages,438.90
2020,Spain,Wine,Beverages,342.50
2019,Spain,Wine,Beverages,377.80
2018,Spain,Wine,Beverages,385.00
2017,Spain,Wine,Beverages,378.20
2016,Spain,Wine,Beverages,359.30
2015,Spain,Wine,Beverages,346.10
2014,Spain,Wine,Beverages,353.90
2013,Spain,Wine,Beverages,349.00
2012,Spain,Wine,Beverages,326.60
2011,Spain,Wine,Beverages,305.20
2010,Spain,Wine,Beverages,273.90
2023,Australia,Wine,Beverages,270.30
2022,Australia,Wine,Beverages,309.50
2021,Australia,Wine,Beverages,293.40
2020,Australia,Wine,Beverages,319.30
2019,Australia,Wine,Beverages,338.40
2018,Australia,Wine,Beverages,356.80
2017,Australia,Wine,Beverages,407.30
2016,Australia,Wine,Beverages,393.80
2015,Australia,Wine,Beverages,431.70
2014,Australia,Wine,Beverages,450.40
2013,Australia,Wine,Beverages,498.20
2012,Australia,Wine,Beverages,530.70
2011,Australia,Wine,Beverages,553.60
2010,Australia,Wine,Beverages,603.40
2023,Argentina,Wine,Beverages,200.50
2022,Argentina,Wine,Beverages,281.00
2021,Argentina,Wine,Beverages,265.40
2020,Argentina,Wine,Beverages,251.00
2019,Argentina,Wine,Beverages,270.10
2018,Argentina,Wine,Beverages,285.10
2017,Argentina,Wine,Beverages,309.20
2016,Argentina,Wine,Beverages,330.40
2015,Argentina,Wine,Beverages,345.30
2014,Argentina,Wine,Beverages,351.70
2013,Argentina,Wine,Beverages,378.10
2012,Argentina,Wine,Beverages,402.70
2011,Argentina,Wine,Beverages,341.00
2010,Argentina,Wine,Beverages,269.80
2023,Canada,Wine,Beverages,196.30
2022,Canada,Wine,Beverages,182.80
2021,Canada,Wine,Beverages,181.30
2020,Canada,Wine,Beverages,143.90
2019,Canada,Wine,Beverages,136.70
2018,Canada,Wine,Beverages,95.40
2017,Canada,Wine,Beverages,80.70
2016,Canada,Wine,Beverages,77.40
2015,Canada,Wine,Beverages,61.80
2014,Canada,Wine,Beverages,53.10
2013,Canada,Wine,Beverages,38.80
2012,Canada,Wine,Beverages,27.80
2011,Canada,Wine,Beverages,31.00
2010,Canada,Wine,Beverages,13.60
2023,Rest of world,Wine,Beverages,730.10
2022,Rest of world,Wine,Beverages,903.80
2021,Rest of world,Wine,Beverages,986.70
2020,Rest of world,Wine,Beverages,889.10
2019,Rest of world,Wine,Beverages,749.10
2018,Rest of world,Wine,Beverages,743.80
2017,Rest of world,Wine,Beverages,768.80
2016,Rest of world,Wine,Beverages,734.80
2015,Rest of world,Wine,Beverages,732.60
2014,Rest of world,Wine,Beverages,721.40
2013,Rest of world,Wine,Beverages,754.10
2012,Rest of world,Wine,Beverages,761.20
2011,Rest of world,Wine,Beverages,722.00
2010,Rest of world,Wine,Beverages,673.00
2023,Mexico,Malt beer,Beverages,5683.20
2022,Mexico,Malt beer,Beverages,5383.90
2021,Mexico,Malt beer,Beverages,4863.00
2020,Mexico,Malt beer,Beverages,4150.90
2019,Mexico,Malt beer,Beverages,3946.90
2018,Mexico,Malt beer,Beverages,3595.40
2017,Mexico,Malt beer,Beverages,3315.90
2016,Mexico,Malt beer,Beverages,3094.20
2015,Mexico,Malt beer,Beverages,2722.90
2014,Mexico,Malt beer,Beverages,2450.90
2013,Mexico,Malt beer,Beverages,1917.40
2012,Mexico,Malt beer,Beverages,1818.70
2011,Mexico,Malt beer,Beverages,1676.90
2010,Mexico,Malt beer,Beverages,1591.30
2023,Netherlands,Malt beer,Beverages,622.10
2022,Netherlands,Malt beer,Beverages,774.90
2021,Netherlands,Malt beer,Beverages,744.50
2020,Netherlands,Malt beer,Beverages,807.10
2019,Netherlands,Malt beer,Beverages,723.70
2018,Netherlands,Malt beer,Beverages,768.20
2017,Netherlands,Malt beer,Beverages,785.40
2016,Netherlands,Malt beer,Beverages,784.50
2015,Netherlands,Malt beer,Beverages,830.20
