Year,Food Volume,Food Category
2023,9519.7,Beverages
2022,9765.7,Beverages
2021,9926.2,Beverages
2020,8987.8,Beverages
2019,8487.3,Beverages
2018,8241.1,Beverages
2017,8173.9,Beverages
2016,7762.9,Beverages
2015,7232.6,Beverages
2014,6674.1,Beverages
2013,6346.6,Beverages
2012,6376.9,Beverages
2011,6014.6,Beverages
2010,5789.5,Beverages
2023,1339,Cocoa and chocolate
2022,1513.2,Cocoa and chocolate
2021,1532.5,Cocoa and chocolate
2020,1391.9,Cocoa and chocolate
2019,1393.9,Cocoa and chocolate
2018,1372.8,Cocoa and chocolate
2017,1453.7,Cocoa and chocolate
2016,1365.8,Cocoa and chocolate
2015,1336.7,Cocoa and chocolate
2014,1295.8,Cocoa and chocolate
2013,1303.4,Cocoa and chocolate
2012,1237.3,Cocoa and chocolate
2011,1312.9,Cocoa and chocolate
2010,1222.1,Cocoa and chocolate
2023,2130.8,"Coffee, tea, and spices"
2022,2413.7,"Coffee, tea, and spices"
2021,2344.6,"Coffee, tea, and spices"
2020,2254.6,"Coffee, tea, and spices"
2019,2371.9,"Coffee, tea, and spices"
2018,2236.8,"Coffee, tea, and spices"
2017,2276.2,"Coffee, tea, and spices"
2016,2235.8,"Coffee, tea, and spices"
2015,2161,"Coffee, tea, and spices"
2014,2112.4,"Coffee, tea, and spices"
2013,2087,"Coffee, tea, and spices"
2012,2018.8,"Coffee, tea, and spices"
2011,2015,"Coffee, tea, and spices"
2010,1894.6,"Coffee, tea, and spices"
2023,417.1,Dairy
2022,401.2,Dairy
2021,370.8,Dairy
2020,368.4,Dairy
2019,384.2,Dairy
2018,364,Dairy
2017,367,Dairy
2016,385.2,Dairy
2015,354.9,Dairy
2014,295.9,Dairy
2013,273.2,Dairy
2012,281.7,Dairy
2011,242.7,Dairy
2010,244.8,Dairy
2023,2820.4,Fish and shellfish
2022,3086.9,Fish and shellfish
2021,3051,Fish and shellfish
2020,2729.3,Fish and shellfish
2019,2648.9,Fish and shellfish
2018,2718.8,Fish and shellfish
2017,2621.8,Fish and shellfish
2016,2553.5,Fish and shellfish
2015,2496.3,Fish and shellfish
2014,2450,Fish and shellfish
2013,2378.4,Fish and shellfish
2012,2361.5,Fish and shellfish
2011,2345.6,Fish and shellfish
2010,2342,Fish and shellfish
2023,15213.4,Fruits
2022,15144.2,Fruits
2021,14753.6,Fruits
2020,14183.1,Fruits
2019,13900.7,Fruits
2018,14065.3,Fruits
2017,13624.4,Fruits
2016,13269.2,Fruits
2015,12884,Fruits
2014,12175.5,Fruits
2013,11849.1,Fruits
2012,11047.4,Fruits
2011,10384.7,Fruits
2010,10068.2,Fruits
